 88 145 169 172 175 182 211 212 213 228 229 277 288 299 376 377 378 392 455 575 760 764 1030 1090 1379 1476 1594 1609 1610    13 
 122 123 151 163 204 224 255 264 307 386 394 397 460 465 799 1012 1023 1038 1039 1097 1147 1162 1331 1405 1418 1419 1448 1449 1475 1496 1498 1586 1594   121 
 21  71  82 149 206 208 300 433 998 1019 1065 1066 1093 1270 1422   207 
 210 273 463 509 584 948 1052 1069 1133 1187 1188 1189 1190   209 
 162 597 614 616 619 623 634 635 637 640 663 666 668 688 689 691 697 699 1199 1206 1208 1210 1216 1225 1254 1281 1303 1304 1306 1414 1479 1480   615 
 250 278 279 287 1033 1462   249 
 174 592 595 598 601 603 605 621 624 653 654 657 671 679 680 693 778 1088 1089 1203 1218 1220 1305 1412 1544 1548 1549   658 
 40  41  42  45  49 721 728 1081    1 
 38  40 237 238 240 241 339 375 388 433 435 491 494 766 1006 1008 1165 1423 1424 1425   296 
 149 407 522 526 529 531 532 533 537 540 547 586 587 590 746 791 1396 1518   521 
 100 101 102 104 105 107 111 138 139 171 1136 1295   106 
 89 244 303 447 841 969 972 1356 1358 1384   843 
 147 148 293 308 358 432 1036 1160 1273 1592 1593   1364 
 415 444 445 498 565 781 786 1031 1138 1553 1566 1567 1594   795 
 10 313 361 453 1002 1005 1164 1547   454 
 406 458 461 489 556 799 808 1418 1419 1529 1617   412 
 331 604 616 620 660 697 1211 1214 1224 1229 1230   682 
 600 617 625 631 632 636 641 646 655 694 700 1197 1198 1283   1201 
 259 327 383 790 1450   272 
 35  36  37 225 409 414 423 759 793   400 
 55 315 352 723 724 1163 1453   1074 
 976 1086 1431 1433 1434   1432 
 274 1113 1117 1118   1123 
 14  15  39 141 183 233 761 995 1098 1162 1182 1318 1472   205 
 87 809 1301 1571 1572   1573 
 158 945 1333   944 
 203 281 571 777   223 
 262 554 1243 1493 1509   1447 
